book,book_title,market,name,point,price
draftkings,DraftKings,h2h,Denver Broncos,,2.8
draftkings,DraftKings,h2h,Kansas City Chiefs,,1.46
williamhill_us,Caesars,h2h,Denver Broncos,,2.79
williamhill_us,Caesars,h2h,Kansas City Chiefs,,1.46
fanduel,FanDuel,h2h,Denver Broncos,,2.84
fanduel,FanDuel,h2h,Kansas City Chiefs,,1.45
mybookieag,MyBookie.ag,h2h,Denver Broncos,,2.79
mybookieag,MyBookie.ag,h2h,Kansas City Chiefs,,1.45
betus,BetUS,h2h,Denver Broncos,,2.83
betus,BetUS,h2h,Kansas City Chiefs,,1.47
lowvig,LowVig.ag,h2h,Denver Broncos,,2.8
lowvig,LowVig.ag,h2h,Kansas City Chiefs,,1.48
betonlineag,BetOnline.ag,h2h,Denver Broncos,,2.8
betonlineag,BetOnline.ag,h2h,Kansas City Chiefs,,1.48
betrivers,BetRivers,h2h,Denver Broncos,,2.65
betrivers,BetRivers,h2h,Kansas City Chiefs,,1.47
fanatics,Fanatics,h2h,Denver Broncos,,2.75
fanatics,Fanatics,h2h,Kansas City Chiefs,,1.48
bovada,Bovada,h2h,Denver Broncos,,2.8
bovada,Bovada,h2h,Kansas City Chiefs,,1.45
